iter	Passed	Remaining
0	1	177
1	3	167
2	5	162
3	6	158
4	8	157
5	10	161
6	11	157
7	13	156
8	15	159
9	17	154
10	18	151
11	20	150
12	22	148
13	23	145
14	25	143
15	27	142
16	28	141
17	30	138
18	31	135
19	33	133
20	35	131
21	36	129
22	38	127
23	39	126
24	41	125
25	43	124
26	45	122
27	47	120
28	48	119
29	50	118
30	52	117
31	54	116
32	56	115
33	58	113
34	59	110
35	60	108
36	62	106
37	63	104
38	65	102
39	66	100
40	68	98
41	69	95
42	72	95
43	73	93
44	75	91
45	76	90
46	78	88
47	79	86
48	81	84
49	82	82
50	84	81
51	87	80
52	88	78
53	90	76
54	91	74
55	93	73
56	94	71
57	96	69
58	97	68
59	100	66
60	101	65
61	103	63
62	105	61
63	106	60
64	108	58
65	110	56
66	111	55
67	113	53
68	115	52
69	117	50
70	119	48
71	120	46
72	122	45
73	123	43
74	125	41
75	127	40
76	128	38
77	130	36
78	132	35
79	134	33
80	135	31
81	137	30
82	139	28
83	140	26
84	142	25
85	144	23
86	145	21
87	147	20
88	149	18
89	151	16
90	152	15
91	153	13
92	155	11
93	157	10
94	159	8
95	161	6
96	163	5
97	164	3
98	166	1
99	167	0
